SubAgency,Description,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,State,VehicleType,Year,Make,Model,Color,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Speeding,Violation Type
"3rd District, Silver Spring",EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE,38.983363,-77.092747,No,No,No,No,No,No,No,No,No,Yes,NY,02 - Automobile,1998.0,VOLKS,BEETLE,RED,Transportation Article,False,WHITE,M,BETHESDA,MD,NY,A - Marked Patrol,Measured,Citation
"5th District, Germantown",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,39.189785,-77.242187,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYT,4S,BLACK,Transportation Article,False,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.109777,-77.216205,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,CIVIC,RED,Transportation Article,True,BLACK,M,WINDSOR MILL,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,39.132787,-77.188449,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997.0,HOND,ACCORD,WHITE,Transportation Article,False,HISPANIC,M,RIVERDALE,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,39.0039,-77.036485,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,BMW,320I,BLACK,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,39.181188,-77.270312,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2010.0,FORD,F150,BLACK,Transportation Article,False,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.04128,-77.04754,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2000.0,TOYOTA,CELICA,RED,Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",POSSESSING MORE THAN ONE DRIVERS LICENSE AT ANY ONE TIME,38.97907,-77.091615,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1999.0,MERCEDEZ,C280 4DR,RED,Transportation Article,False,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,39.071305,-77.132042,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,MERCEDES-BENZ,ML350,SILVER,Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.12662,-77.354517,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,LINC,TK,BLACK,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,S - License Plate Recognition,No,Citation
"2nd District, Bethesda",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.129947,-77.162724,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1992.0,JAGU,2D/CONV,RED,Transportation Article,False,WHITE,M,BETHESDA,MD,MD,S - License Plate Recognition,No,Citation
"4th District, Wheaton",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,39.066051,-77.035024,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,PONT,VIBE 4S,BLUE,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",OPERATING A MOTOR SCOOTER ON HWY. W/O REQ. LICENSE OR PERMIT,38.99382,-77.026877,No,No,No,No,No,No,No,No,No,No,MD,19 - Moped,2024.0,TZTC,BWS,BLACK,Transportation Article,False,HISPANIC,M,COLLEGE PARK,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",TAILLIGHT INOPERATIVE,39.033949,-76.986547,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,HOND,TK,BLUE,Maryland Rules,False,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,39.104403,-77.229823,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019.0,CHEVY,TRAVERSE,WHITE,Transportation Article,False,WHITE,F,MONROVIA,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.155963,-77.2071,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,NISSAN,ALTIMA 4S,BLACK,Transportation Article,False,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,39.109533,-77.237435,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,VOLVO,S80,GREEN,Transportation Article,False,BLACK,F,POOLESVILLE,MD,MD,Q - Marked Laser,Yes,Warning
"3rd District, Silver Spring",DRIVER CHANGING LANES WHEN UNSAFE,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,COROLLA,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",TAG LIGHTS (*),39.129845,-77.244333,No,No,No,No,No,No,No,No,No,No,MD,25 - Utility Trailer,2001.0,PEQU,TL,BLACK,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Repair Order
"2nd District, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.022927,-77.071762,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,2014.0,MAZDA,3,RED,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,38.984062,-77.084713,No,No,No,No,No,No,No,No,No,No,CT,05 - Light Duty Truck,2010.0,TOYT,4RUNNER,BLACK,Transportation Article,False,WHITE,F,CHEVY CHASE,MD,CT,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,FORD,EDGE,GRAY,Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS, COVERS",39.090278,-77.054052,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,JAGU,4S,SILVER,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,39.102945,-77.290907,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,GMC,YUKON,BLUE,Transportation Article,False,WHITE,F,DARNESTOWN,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.997087,-77.02564,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,LINCOLN,NAVIGATOR,WHITE,Transportation Article,False,BLACK,M,N BETHESDA,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,39.055693,-77.150292,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,PORCH,CYAN,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 51 MPH IN A POSTED 35 MPH ZONE,39.112066,-77.19366,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,TOYOTA,CAMRY,SILVER,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Measured,Citation
"4th District, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.069368,-77.014088,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEVY,SILVERADO TK,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",TAG LIGHTS (*),39.044792,-77.119988,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYT,TK,GREEN,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Repair Order
"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 35 MPH ZONE,39.155944,-77.206788,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,4S,SILVER,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Measured,Citation
"5th District, Germantown",STOP LIGHTS (*),39.148853,-77.275882,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,NISSAN,ALTIMA,GRAY,Transportation Article,False,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Repair Order
"2nd District, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,38.964457,-77.08846,No,Yes,No,No,No,No,No,No,No,No,WA,02 - Automobile,2002.0,ACURA,TL,SILVER,Transportation Article,False,WHITE,F,BLOOMINGTON,IN,IN,A - Marked Patrol,No,Citation
"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,39.113918,-77.075555,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,MERZ,4S,SILVER,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,38.987753,-77.07832,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2001.0,LEXUS,RX300,GOLD,Transportation Article,False,ASIAN,F,HARRISBURG,PA,PA,A - Marked Patrol,No,Warning
Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.115863,-77.25248,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,HOND,E320,SILVER,Transportation Article,False,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",HOLDER OF LEARNERS PERMIT DRIVING W/O REQ. SUPERVISION,39.149817,-77.065897,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,MERCEDES,GLK350,"BLUE, LIGHT",Transportation Article,False,HISPANIC,M,OLNEY,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",39.051697,-77.089415,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1990.0,CHEVY,TRUCK,BLUE,Transportation Article,False,WHITE,M,SILVER SPRING,MD,PR,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50/30,39.16263,-77.249854,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,LEXUS,GS300,BLACK,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Yes,Warning
"2nd District, Bethesda",HEADLIGHTS (*),39.067251,-77.101722,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,VOLVO,4DR,SILVER,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,Q - Marked Laser,No,Repair Order
"4th District, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,39.056795,-77.043435,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2000.0,NISSAN,MAXIMA,GOLD,Transportation Article,False,BLACK,M,LEESBURG,VA,VA,A - Marked Patrol,No,Citation
"5th District, Germantown",OWNER KNOWINGLY PERMITTING MOTOR VEH. TO BE DRIVEN ON HWY. BY UNAUTHORIZED PERSON,39.177757,-77.242933,No,No,No,No,No,No,No,No,No,No,VA,28 - Other,2004.0,TOYO,RAV4,WHITE,Transportation Article,False,BLACK,F,FAIRFAX,VA,VA,B - Unmarked Patrol,No,Warning
"4th District, Wheaton",FAILING TO STOP UNTIL SAFE TO CONTINUE THROUGH INTERSECTION W/NONFUNCT. TRAF. SIGNAL,39.03637,-77.025395,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYT,SIENNA,GOLD,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.05827,-77.163207,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,DODGE,CHARGER,SILVER,Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",FAILURE TO STOP AT STOP SIGN,39.05533,-76.960147,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,SUBARU,BRZ,BLUE,Transportation Article,False,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,39.104815,-77.194455,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYT,TK,WHITE,Transportation Article,False,ASIAN,F,NORTH POTOMAC,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.056002,-76.962678,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,DODGE,JOURNEY,BLACK,Transportation Article,False,BLACK,M,DISTRICT HEIGHTS,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,39.120611,-77.201699,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,HYUNDAI,AZERA,SILVER,Transportation Article,False,ASIAN,F,ELLICOTT CITY,MD,MD,Q - Marked Laser,Measured,Citation
"2nd District, Bethesda",FAIL TO MAINT. LEG REG PLATE FROM COVERS BORDER,39.033468,-77.126008,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2020.0,VOLK,JETTA,WHITE,Transportation Article,False,WHITE,M,NORTH BETHESDA,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY FLEEING ON FOOT,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019.0,TOYOTA,HIGHLANDER,WHITE,Transportation Article,False,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,38.988967,-77.101258,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,NISS,ROGUE,GRAY,Transportation Article,False,WHITE,F,ROCKVILLE,MD,MD,Q - Marked Laser,Yes,Warning
"4th District, Wheaton",OPERATOR NOT RESTRAINED BY SEATBELT,39.045848,-77.066048,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,CHEVY,MONTE CARLO,RED,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,39.045623,-76.990323,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2018.0,KIA,TK,WHITE,Transportation Article,False,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",POSSESSING SUSPENDED LIC.,39.058502,-77.047958,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2003.0,BMW,4D,BLUE,Transportation Article,False,WHITE,M,BURTONSVILLE,MD,MD,B - Unmarked Patrol,No,Citation
"4th District, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,39.074035,-77.099444,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2006.0,AVANTI,MOTORCYCLE,GREEN,Transportation Article,False,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,39.105433,-77.23175,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2006.0,CHRYSLER,TOWN AND COUNTR,SILVER,Transportation Article,False,WHITE,M,RESTON,VA,VA,A - Marked Patrol,Yes,Warning
"5th District, Germantown",FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,39.22877,-77.252192,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,VENZA,SILVER,Transportation Article,False,BLACK,F,CLARKSBURG,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,39.145813,-77.220078,Yes,No,No,Yes,No,No,No,No,No,No,DC,02 - Automobile,2008.0,SUBARU,FORESTER,BEIGE,Transportation Article,True,WHITE,F,NORTH POTOMAC,MD,MD,A - Marked Patrol,Yes,Citation
"1st District, Rockville",FAILURE YIELD RIGHT OF WAY ON LEFT TURN,39.1062,-77.232953,Yes,Yes,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,HOND,TK,SILVER,Transportation Article,True,BLACK,F,FREDERICK,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.08555,-77.166618,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,SOLARA,BLACK,Transportation Article,False,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",KNOWINGLY DRIVING KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE,39.120338,-77.179907,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUNDAI,ELANTRA,SILVER,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 67 MPH IN A POSTED 35 MPH ZONE,38.989332,-77.14959,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,SUZU,4S,BLACK,Transportation Article,False,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,Measured,Citation
"6th District, Gaithersburg / Montgomery Village",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,39.115193,-77.208938,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,MATRIX 4S,ORANGE,Transportation Article,False,WHITE,M,MOUNT AIRY,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,39.173273,-77.20495,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1993.0,TOYOTA,CAMRY,BLUE,Transportation Article,False,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE YIELD RIGHT OF WAY ON U TURN,39.045163,-76.990795,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,ACURA,TL,BLACK,Transportation Article,False,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,39.034838,-77.14359,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,HCRY,200,BLACK,Transportation Article,False,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 53 MPH IN A POSTED 35 MPH ZONE,39.191567,-77.229728,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995.0,TOYOTA,COROLLA,RED,Transportation Article,False,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Measured,Citation
"5th District, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.171698,-77.251917,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,NISS,4S,BLUE,Transportation Article,False,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.99484,-76.992212,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2006.0,HODA,ODYSSEY,GRAY,Transportation Article,False,HISPANIC,F,WASHINGTON,DC,DC,A - Marked Patrol,No,Warning
Headquarters and Special Operations,DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,39.11533,-77.165875,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,ACURA,RDX,WHITE,Transportation Article,False,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",Stop Lights,39.034469,-76.998996,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996.0,HONDA,CIVIC,RED,Transportation Article,False,WHITE,F,HALETHORPE,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",AGGRESSIVE DRIVING,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,PRIUS C,RED,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 50 MPH IN A POSTED 35 MPH ZONE,39.155645,-77.093085,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2011.0,FORD,F250,WHITE,Transportation Article,False,HISPANIC,M,ASHTON,MD,MD,A - Marked Patrol,Measured,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.120255,-77.074473,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019.0,GMC,ACADIA,BLACK,Transportation Article,True,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.095572,-77.003665,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996.0,TOYT,AVALON,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,39.111843,-77.193928,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,MERZ,4S,BLACK,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
Headquarters and Special Operations,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,38.992577,-77.00988,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,2002.0,DODGE,DAKOTA,BEIGE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,39.106215,-77.221372,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYT,4S,GREEN,Transportation Article,False,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring","DRIVING, ATTEMPTING TO DRIVE) MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION",39.006483,-77.039183,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1996.0,JEEP,CHEROKEE,GREEN,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.076576,-77.139918,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,TOYT,CAMRY,RED,Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,38.998235,-77.025442,No,No,No,No,No,No,No,No,No,No,NJ,02 - Automobile,2008.0,HONDA,ACCORD,WHITE,Transportation Article,False,BLACK,M,GREENBELT,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,39.151613,-77.173477,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HYNDAI,GENESIS,WHITE,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,Yes,Warning
"3rd District, Silver Spring",KNOWINGLY DRIVING UNINSURED VEHICLE,38.990623,-77.023028,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,KIA,FORTE,BLACK,Transportation Article,False,HISPANIC,M,RICHMOND,VA,VA,A - Marked Patrol,No,Citation
