SubAgency,Description,Latitude,Longitude,Accident,Belts,"Personal Injury","Property Damage",Fatal,"Commercial License","Commercial Vehicle",Alcohol,"Work Zone","Search Conducted",State,VehicleType,Year,Make,Model,Color,Article,"Contributed To Accident",Race,Gender,"Driver City","Driver State","DL State","Arrest Type","Violation Type"
"5th District, Germantown","HOLDER OF LEARNERS PERMIT DRIVING W/O REQ. SUPERVISION",39.174962,-77.257343,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,HONDA,PILOT,SILVER,"Transportation Article",False,HISPANIC,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","OPERATOR NOT RESTRAINED BY SEATBELT",39.133361,-77.190158,No,No,No,No,No,Yes,No,No,No,No,MD,"05 - Light Duty Truck",2012,CHEVY,"PU WK TK",TAN,"Transportation Article",False,BLACK,M,"MONT. VILLAGE",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.05586,-77.149567,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2001,HONDA,ACCORD,"GREEN, DK","Transportation Article",False,HISPANIC,M,STERLING,VA,VA,"A - Marked Patrol",Warning
"5th District, Germantown","DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION",39.18326,-77.274052,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,CHEV,EL,BLACK,"Transportation Article",False,ASIAN,F,BOYDS,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.092208,-77.193075,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,MERZ,E350,BLACK,"Transportation Article",False,OTHER,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.191532,-77.006892,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,BMW,X5,SILVER,"Transportation Article",False,WHITE,F,BROOKEVILLE,MD,MD,"Q - Marked Laser",Warning
"3rd District, Silver Spring","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE",38.99979,-77.013968,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2016,TOYOTA,COROLLA,SILVER,"Transportation Article",False,OTHER,M,ADELPHI,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS",39.170413,-77.208129,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,TOYT,4S,BLUE,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.108757,-77.236798,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,DODGE,DART,BLACK,"Transportation Article",False,ASIAN,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.128832,-77.185765,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,TOYT,4S,BLACK,"Transportation Article",False,BLACK,F,LAUREL,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",38.990438,-77.022234,No,No,No,No,No,No,No,No,No,No,MN,"02 - Automobile",2011,HONDA,PILOT,BLACK,"Transportation Article",False,ASIAN,F,"SILVER SPRING",MD,MN,"A - Marked Patrol",Warning
"3rd District, Silver Spring","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.039864,-76.990924,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,NISSAN,350Z,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","OPERATOR NOT RESTRAINED BY SEATBELT",39.038037,-76.998893,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,LEXUS,RX330,SILVER,"Transportation Article",False,BLACK,M,WASHINGTON,DC,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.148452,-77.180422,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2019,TOY,HATCH,BLACK,"Transportation Article",False,BLACK,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","OWNER OF MOTOR SCOOTER FAILURE TO DISPLAYDECAL ON VEHICLE AS PRESCRIBED BY MVA",38.977465,-77.103682,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,KYMC,"PEOPLE S",BLUE,"Transportation Article",False,OTHER,M,POTOMAC,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.996657,-77.028583,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,FORD,ESCAPE,RED,"Transportation Article",False,BLACK,F,"UPPER MARLBORO",MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE",39.049943,-77.15181,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,VW,GLI,BLACK,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"B - Unmarked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO STOP AT STOP SIGN LINE",39.146607,-77.230185,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,TOYOTA,SEDAN,SILVER,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",39.155659,-77.207934,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2002,VOLKSWAGON,JETTA,BLACK,"Transportation Article",False,WHITE,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.0319,-77.072455,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,TOYOTA,COROLLA,BLUE,"Transportation Article",False,HISPANIC,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.960845,-77.12799,No,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,DODG,CHALLENGER,ORANGE,"Transportation Article",False,BLACK,M,"MONTGOMERY VILLAGE",MD,MD,"Q - Marked Laser",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.150869,-77.211004,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,TOYOTA,CHR,WHITE,"Transportation Article",False,WHITE,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE",38.982197,-77.136112,No,No,No,No,No,No,No,No,No,No,VA,"05 - Light Duty Truck",2003,TOYOTA,SEQUOIA,SILVER,"Transportation Article",False,HISPANIC,M,STERLING,VA,VA,"L - Motorcycle",Warning
"4th District, Wheaton","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",39.055088,-77.050377,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,NISSAN,ALTIMA,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.16699,-77.213355,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,TOYT,"4S CAMRY",GRAY,"Transportation Article",False,ASIAN,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",39.079192,-77.122398,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,TOYOTA,SIENNA,BEIGE,"Transportation Article",False,BLACK,F,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","MOTOR VEH. MFR. AFTER JUNE 1, 1971, W/O ADEQUATE TAIL LAMPS",38.99432,-77.097427,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,LNDR,TK,BLACK,"Transportation Article",False,WHITE,F,"CHEVY CHASE",MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",38.986932,-77.026863,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2011,CHRYSLER,TOWN&COUNTRY,GRAY,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,DC,"A - Marked Patrol",Warning
"4th District, Wheaton","LEFT TURN FROM IMPROPER ROAD POSITION",39.058338,-77.047352,No,No,No,No,No,No,No,No,No,No,PA,"02 - Automobile",2012,FORD,"TRANSIT VAN",WHITE,"Transportation Article",False,OTHER,F,"CLIFTON HEIGHTS",PA,PA,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING",39.069192,-77.169257,No,No,No,No,No,No,No,No,No,No,MD,"08 - Recreational Vehicle",2004,MERCURY,MOUNTAINEER,BEIGE,"Transportation Article",False,HISPANIC,F,"MONTGOMERY VILLAG",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS",39.040372,-77.04849,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,VOLVO,V70,SILVER,"Transportation Article",False,BLACK,F,LAUREL,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.03701,-77.060768,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,HOND,TK,TAN,"Transportation Article",False,WHITE,F,KENSINGTON,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE",39.048545,-76.981607,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,HYUNDAI,ELANTRA,GRAY,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,HYUNDAI,SONATA,SILVER,"Transportation Article",False,WHITE,M,MILLERSVILLE,MD,MD,"Q - Marked Laser",Warning
"1st District, Rockville","OPER. MOTOR VEH. WITH OCCUPANT UNDER 16 NOT RESTRAINED BY SEAT BELT",39.104166,-77.190418,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HOND,ODYSSEY,TAN,"Transportation Article",False,ASIAN,F,"NORTH POTOMAC",MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS",39.189353,-77.241435,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,CHEVY,CRUZE,BLACK,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",38.99917,-76.995412,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,INFINITY,G35,BLACK,"Transportation Article",False,WHITE,M,WASHINGTON,DC,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS",39.04073,-77.053483,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,LEXUS,"RX 350",GRAY,"Transportation Article",False,BLACK,M,BURTONSVILLE,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","POSSESSING SUSPENDED LIC.",39.125752,-77.027662,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,HYUNDAI,ELANTRA,BLACK,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR",39.02568,-77.103413,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,MERZ,4S,BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING VEH. WHILE WEARING EARPHONES",39.07627,-77.046043,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,ACUR,TL,MAROON,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.100637,-77.136312,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2013,CHEV,SW,GRAY,"Transportation Article",False,BLACK,F,BALTIMORE,MD,MD,"Q - Marked Laser",Warning
"3rd District, Silver Spring","PERSON DRIVING MOTOR VEH. ON HWY. W/O TIRES IN SAFE OPERATING CONDITION AS REQUIRED BY ADM.",39.047356,-76.985965,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2011,BUIC,ENCLAVE,BLUE,"Transportation Article",False,BLACK,F,WASHINGTON,DC,DC,"A - Marked Patrol",Warning
"5th District, Germantown","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",0,0,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",1999,"MERCEDES BENZ",C280,SILVER,"Transportation Article",False,WHITE,M,KENT,WA,WA,"A - Marked Patrol",Warning
"4th District, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.057338,-77.051405,No,No,No,No,No,No,No,No,No,No,MD,"26 - Boat Trailer",2001,ROD,TRAILER,BLACK,"Transportation Article",False,WHITE,M,"COLLEGE PARK",MD,NC,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.092378,-77.210778,No,No,No,No,No,Yes,No,No,No,No,MD,"07 - Truck/Road Tractor",2016,WEST,DT,COPPER,"Transportation Article",False,OTHER,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.153733,-77.21285,No,No,No,No,No,No,No,No,No,No,PA,"02 - Automobile",2012,HYUN,ELANTRA,BEIGE,"Transportation Article",False,BLACK,M,YORK,PA,PA,"A - Marked Patrol",Warning
"2nd District, Bethesda","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",38.992877,-77.108045,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,NISSAN,ALTIMA,BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH",39.157343,-77.185665,No,No,No,No,No,Yes,No,No,No,No,MD,"02 - Automobile",2009,TOYOTA,CAMRY,TAN,"Transportation Article",False,OTHER,M,ROCKVILLE,MD,MD,"Q - Marked Laser",Warning
"3rd District, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.999842,-77.012837,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,TOYOTA,COROLLA,WHITE,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,TOYOTA,4S,RED,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"L - Motorcycle",Warning
"5th District, Germantown","PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEHICLE W/O SEAT BELT RESTRAINT SECONDARY ACTION",39.175112,-77.240057,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2014,CHEV,EXPRESS,WHITE,"Transportation Article",False,HISPANIC,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.094807,-76.98577,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2011,CHEVROLET,SILVERADO,WHITE,"Transportation Article",False,WHITE,M,RALEIGH,NC,NC,"A - Marked Patrol",Warning
"4th District, Wheaton","FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE",39.08028,-77.081988,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1995,CHEVY,LUMINA,WHITE,"Transportation Article",False,WHITE,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.050758,-77.126141,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,AUDI,Q7,BLACK,"Transportation Article",False,BLACK,M,BELTSVILLE,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","INSTALLING WINDOW TINTING MATERIAL NOT IN COMPLIANCE WITH REQUIREMENTS",39.058393,-77.048073,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,HOND,4S,RED,"Transportation Article",False,HISPANIC,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK",39.169507,-77.204593,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1998,TOYOTA,COROLLA,MAROON,"Transportation Article",False,BLACK,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION",39.05714,-77.086137,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,DODGE,RAM,SILVER,"Transportation Article",False,WHITE,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.043803,-77.055652,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,INFINITY,G37,BLACK,"Transportation Article",False,HISPANIC,F,HYATTSVILLE,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN",39.101353,-77.155875,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2014,FORD,F350,WHITE,"Transportation Article",False,WHITE,M,DERWOOD,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.073738,-77.002023,No,No,No,No,No,No,No,No,No,No,FL,"02 - Automobile",2007,BENTLEY,CONTINENTAL,"BLUE, DARK","Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.980548,-77.088015,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,NISSAN,ALTIMA,GRAY,"Transportation Article",False,BLACK,M,"UPPER MARLBORO",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.036728,-77.10797,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,HONDA,ACCORD,GOLD,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.981948,-77.099272,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,NISSAN,2S,GRAY,"Transportation Article",False,BLACK,M,COLUMBIA,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","MOTOR VEH. MFR. AFTER JUNE 1, 1971, W/O ADEQUATE TAIL LAMPS",38.995598,-77.028663,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,LEXUS,RX350,GRAY,"Transportation Article",False,BLACK,M,LANDOVER,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.150863,-77.065333,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,HOND,CRV,GRAY,"Transportation Article",False,WHITE,F,BETHESDA,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.175297,-77.405668,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,LEXUS,RX350,GOLD,"Transportation Article",False,WHITE,M,ADAMSTOWN,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.980403,-77.089138,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2019,BMW,540I,BLACK,"Transportation Article",False,BLACK,M,WASHINGTON,DC,DC,"A - Marked Patrol",Warning
"Headquarters and Special Operations","DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION",39.287912,-77.285377,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",1988,CHEV,TK,RED,"Maryland Rules",False,WHITE,F,DAMASCUS,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","TRUCK TAG LAMP INOPERATIVE",39.187308,-77.200058,No,No,No,No,No,No,Yes,No,No,No,MD,"06 - Heavy Duty Truck",2006,FORD,"DS F450",TAN,"Maryland Rules",False,BLACK,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS",39.104815,-77.194455,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,TOYT,TK,WHITE,"Transportation Article",False,ASIAN,F,"NORTH POTOMAC",MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.225737,-77.236738,No,No,No,No,No,No,No,No,No,No,MD,"28 - Other",2013,HYUN,"SUV TUCSON",BLACK,"Transportation Article",False,WHITE,F,GERMANTOWN,MD,MD,"Q - Marked Laser",Warning
"6th District, Gaithersburg / Montgomery Village","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",39.158983,-77.220075,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,HYUN,ELANTRA,BLACK,"Transportation Article",False,BLACK,F,ADELPHI,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,KAWASAKE,MC,BLUE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY",39.120648,-77.201832,No,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1996,HONDA,2D,GREEN,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"R - Unmarked Laser",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT",39.169928,-77.205313,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,FORD,4S,BLUE,"Transportation Article",False,WHITE,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.077393,-77.123448,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1998,LINCOLN,"TOWN CAR",GREEN,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT",39.133554,-77.18994,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,NISSAN,SENTRA,GRAY,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"B - Unmarked Patrol",Warning
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.060465,-77.044838,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,CHEV,4S,BLACK,"Transportation Article",False,WHITE,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED",39.110259,-76.93018,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,NISS,ALTIMA,BLACK,"Transportation Article",False,BLACK,M,"WINDSOR MILL",MD,MD,"Q - Marked Laser",Warning
"4th District, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,TOYOTA,4S,GREEN,"Transportation Article",False,ASIAN,F,"SILVER SPRING",MD,MD,"O - Foot Patrol",Warning
